,0,1,2,3,4,5,6,7,8,9
34,Disco Club 44,CLOSED_TEMPORARILY,"Cl. 44 #58, Medellín, Antioquia, Colombia",ChIJPTjtEQopRI4R8kUQRhPxENg,6.249845,-75.592749,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
35,Club 1984,OPERATIONAL,"Cra. 44 #25-15, Medellín, Antioquia, Colombia",ChIJGZuEODUoRI4RvDwsDDVotX0,6.2266165,-75.5732998,4.0,"['night_club', 'point_of_interest', 'establishment']",46,night+club
36,Midnight Club,OPERATIONAL,"Cra. 36 ##10-37, Medellín, Antioquia, Colombia",ChIJ0cMxiykoRI4RleNFm5yaIjw,6.209219,-75.56603919999999,4.3,"['night_club', 'point_of_interest', 'establishment']",288,night+club
37,Babylon,CLOSED_TEMPORARILY,"Cra. 41 #9 - 22, Medellín, Antioquia, Colombia",ChIJVdSRLiooRI4RUU5cgYNPLfE,6.209468999999999,-75.568902,4.1,"['night_club', 'point_of_interest', 'establishment']",1125,night+club
38,Jhon's Pachanga Night Club,CLOSED_TEMPORARILY,"Medellín, Antioquia, Colombia",ChIJYYr3eZkpRI4ReVLIi_N3C3E,6.2421479,-75.6026013,4.5,"['night_club', 'point_of_interest', 'establishment']",4,night+club
39,Purple Club Medellin,OPERATIONAL,"Av. 33 ## 78-107, Medellín, Antioquia, Colombia",ChIJMYftqvIpRI4Rg7HIRvZUd6w,6.2387457,-75.5993053,4.3,"['night_club', 'point_of_interest', 'establishment']",38,night+club
40,Parque de El Poblado,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJlVzqqCsoRI4RHqtx-IJvdD0,6.210362099999999,-75.5709991,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",18273,point+of+interes
41,Cerro Nutibara Pueblito Paisa,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJdSOVKbIpRI4R01ZrwRwRJeo,6.2358144,-75.5797728,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",19112,point+of+interes
42,Parque Explora,OPERATIONAL,"Cra 52 ##73-75, Medellín, Antioquia, Colombia",ChIJrQQAp90oRI4RMZr7piVq20I,6.271081199999999,-75.5655602,4.7,"['aquarium', 'tourist_attraction', 'museum', 'amusement_park', 'point_of_interest', 'establishment']",27351,point+of+interes
43,Parque lleras,OPERATIONAL,"Cl. 10 #25-18, Medellín, Antioquia, Colombia",ChIJzcYf6yAoRI4RoLXwyLeIrk8,6.208881,-75.5677791,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",15036,point+of+interes
44,"Plaza Botero - Medellín, Antioquia",OPERATIONAL,"Av. Carabobo, Medellín, Antioquia, Colombia",ChIJd_9Ny_4oRI4RkpiSq1F-Wi4,6.2524424,-75.5686415,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",21203,point+of+interes
45,Pueblito Paisa,OPERATIONAL,"calle 30 a, Autopista Sur, Medellín, Antioquia, Colombia",ChIJq6qqmrEpRI4RrMb9SMmBZew,6.236175999999999,-75.58026699999999,4.4,"['tourist_attraction', 'point_of_interest', 'establishment']",29842,point+of+interes
46,"Antigua Estación El Bosque, Medellín",OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJ4d4Es-4pRI4Rdz5MiBYiApQ,6.2719387,-75.5655632,0.0,"['point_of_interest', 'establishment']",0,point+of+interes
47,Parque de la Conservación,OPERATIONAL,"Cra 52 #20-63, Medellín, Antioquia, Colombia",ChIJsSdpVMkpRI4RqMEeRrd8HTQ,6.223158499999999,-75.58031369999999,4.5,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",10475,point+of+interes
48,Primer puente de la toma.,OPERATIONAL,"Cl. 52 #27-1, Medellín, Antioquia, Colombia",ChIJicZUNGcoRI4RX6wx-nFJ9yA,6.2425741,-75.54931909999999,3.6,"['point_of_interest', 'establishment']",34,point+of+interes
49,Parque de los Pies Descalzos,OPERATIONAL,"Cra. 58 #42-125, Medellín, Antioquia, Colombia",ChIJ3xE-CqspRI4RPl8BKzTDilc,6.2446509,-75.5772046,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",11648,point+of+interes
50,Museo de Antioquia,OPERATIONAL,"Cl. 52 #52-43, Medellín, Antioquia, Colombia",ChIJXZ8euP4oRI4Ri2vW-qFyOiE,6.252422699999999,-75.56913109999999,4.7,"['museum', 'art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",5848,point+of+interes
51,Edificio Atlas (antes Litografía de Coltabaco) - Juzgados Administrativos del Circuito de Medellín,OPERATIONAL,"Cl. 42 ##48-55, Medellín, Antioquia, Colombia",ChIJ0VFAoCwpRI4Rbec0gt2LYII,6.242425099999999,-75.57049130000001,4.3,"['point_of_interest', 'establishment']",26,point+of+interes
52,Montaña Medellín 2019,OPERATIONAL,"Av. Regional, Medellín, Antioquia, Colombia",ChIJcccsfeEpRI4RA4ewcOLJjZ8,6.2440999,-75.57856579999999,0.0,"['museum', 'point_of_interest', 'establishment']",0,point+of+interes
53,Parque del río medellin,OPERATIONAL,"Cl. 48 ##No. 68 - 98, Medellín, Antioquia, Colombia",ChIJMxgE_4cpRI4RQ9RoHia7tV4,6.2537771,-75.5870233,0.0,"['park', 'point_of_interest', 'establishment']",0,point+of+interes
54,Parque Natural Cerro El Volador,OPERATIONAL,"Medellín, Antioquia, Colombia",ChIJjSerEBkpRI4R2UKXjTg34Gc,6.264745,-75.582522,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",4387,point+of+interes
55,Coltefinanciera,OPERATIONAL,"Cl. 34A #66A-59, Medellín, Antioquia, Colombia",ChIJWXzwDaUpRI4RxgJCvVDQgw0,6.24062,-75.58766,4.0,"['point_of_interest', 'establishment']",1,point+of+interes
56,Parque Norte Medellín,OPERATIONAL,"Cra. 53 #76-115, Medellín, Antioquia, Colombia",ChIJ4VuurN0oRI4R60fzWMCUN9M,6.2726953,-75.5671962,4.5,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",21429,point+of+interes
57,Palacio de la Cultura Rafael Uribe Uribe,OPERATIONAL,"Carrera 51 #52 01 Medellín Antioquia 050012, Medellín, Antioquia, Colombia",ChIJJzZ7MvkoRI4R73hm8KJMKqM,6.2515865,-75.5682569,4.7,"['art_gallery', 'tourist_attraction', 'point_of_interest', 'establishment']",1486,point+of+interes
58,Plaza Cisneros,OPERATIONAL,"Cl. 44, Medellín, Antioquia, Colombia",ChIJG6gQ4lQoRI4RCkVHuyy42Oo,6.24602,-75.5722971,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",7089,point+of+interes
59,Plazuela San Ignacio,OPERATIONAL,"Cra. 45 #47-66, Medellín, Antioquia, Colombia",ChIJoc2lVFYoRI4RDjHSJc4dlFQ,6.2467437,-75.5648829,4.3,"['park', 'lodging', 'point_of_interest', 'establishment']",1707,point+of+interes
60,Toucan Spanish School,CLOSED_TEMPORARILY,"Cra. 41a ##10-28, Medellín, Antioquia, Colombia",ChIJc2vtgykoRI4RqoGgLQcKDY8,6.210333899999999,-75.5690983,4.9,"['point_of_interest', 'establishment']",272,school
61,Colegio Marymount,OPERATIONAL,"Cl. 7 ##25 - 64, Medellín, Antioquia, Colombia",ChIJtwHocp6CRo4RuPfBlS8Sp2o,6.2056127,-75.5560381,4.3,"['school', 'point_of_interest', 'establishment']",33,school
62,The New School,OPERATIONAL,"Carrera 12 # 11Sur 338, Medellín, Antioquia, Colombia",ChIJQQp8wL6CRo4Rf3-duh8J9jc,6.18975,-75.5464339,3.9,"['primary_school', 'school', 'point_of_interest', 'establishment']",46,school
63,OLSA Spanish English School,OPERATIONAL,"Cl. 49B ##76A-5, Medellín, Antioquia, Colombia",ChIJ9brAGBIpRI4RxzXdyR2b2DM,6.260464199999999,-75.5921867,5.0,"['school', 'restaurant', 'food', 'point_of_interest', 'establishment']",252,school
64,Vermont School Medellín - Sede Poblado,OPERATIONAL,"Calle 11 sur # 29E-197, Medellín, Antioquia, Colombia",ChIJOVtMZYyCRo4REHR1rEOMT50,6.189877099999999,-75.5678559,4.4,"['school', 'point_of_interest', 'establishment']",8,school
65,The Best School,OPERATIONAL,"Carrera 80 #48-101, Medellín, Antioquia, Colombia",ChIJiSrpWW0pRI4R0RPdpqAOcsQ,6.259805999999999,-75.597644,4.3,"['school', 'point_of_interest', 'establishment']",50,school
66,School Center,OPERATIONAL,"Carulla Oviedo Carrera 43 No. 6 Sur - 140, Medellín, Antioquia, Colombia",ChIJkWqLUH2CRo4R1oIr2KlMZsU,6.1974996,-75.5752287,2.9,"['school', 'point_of_interest', 'establishment']",27,school
67,DESTINY School International,OPERATIONAL,"Cl. 19a ##27-250, Medellín, Antioquia, Colombia",ChIJoR8HW40pRI4RTK6O8viQdWA,6.2221136,-75.5605341,5.0,"['school', 'point_of_interest', 'establishment']",1,school
68,Saber Pre-Universitario Medellín,OPERATIONAL,"Cl. 49 ###45-26, Medellín, Itagüi, Antioquia, Colombia",ChIJv5nPM4GDRo4RkOQOjhs0Bdg,6.1716557,-75.61045299999999,0.0,"['school', 'point_of_interest', 'establishment']",0,school
