,0,1,2,3,4,5,6,7,8,9
39,Elite Matin Pub,CLOSED_TEMPORARILY,"Cra. 43 ## 80 - 194, Barranquilla, Atlántico, Colombia",ChIJPc4CRgYt9I4R88eo31jpWMY,10.9974864,-74.8173563,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
40,la sede disco,CLOSED_TEMPORARILY,"calle 63 # 14c-52, Soledad, Atlántico, Colombia",ChIJHWloroQt9I4RW_lRr0wUxfw,10.9616232,-74.8074453,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
41,Coronita RD Disco Bar,OPERATIONAL,"Cra. 8 ##42-87, Barranquilla, Atlántico, Colombia",ChIJEXwhKovT9Y4RdsmxodeHYtg,10.9459598,-74.7979969,4.5,"['night_club', 'point_of_interest', 'establishment']",2,night+club
42,Discoteca El Tigre Cervecero,CLOSED_TEMPORARILY,"Cl. 43 #126, Barranquilla, Atlántico, Colombia",ChIJP5y2emEt9I4RtjG_idCuN80,10.982083,-74.78415199999999,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
43,La sede de los junioristas,CLOSED_TEMPORARILY,"Cl. 108 ##13-2 a 13-98, Barranquilla, Atlántico, Colombia",ChIJAROjWpkt9I4Rzr07ME4sbZQ,10.9674037,-74.8358065,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
44,Pamela Chicas,CLOSED_TEMPORARILY,"Cl. 42 #4447, Barranquilla, Atlántico, Colombia",ChIJl6XPTmIt9I4RiJTO2m5JpUs,10.9844895,-74.7829817,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
45,Arca21vip bar-restaurante,CLOSED_TEMPORARILY,"Cra 21 N 47b-84, Barranquilla, Atlantico, Colombia",ChIJZUEqVsMt9I4RaD36Mt1ToUI,10.9643456,-74.79604259999999,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
46,La Ocho,CLOSED_TEMPORARILY,"Cl. 8, Barranquilla, Eduardo Santos, Barranquilla, Atlántico, Colombia",ChIJZyR0ohEs9I4Rp4XwqM34MNc,11.0318791,-74.85995539999999,4.5,"['night_club', 'point_of_interest', 'establishment']",2,night+club
47,Pikeria Bar,CLOSED_TEMPORARILY,"Cl. 82 #No. 44-35 2do Piso, Barranquilla, Atlántico, Colombia",ChIJYQZhvgct9I4RAxsd6Rsv1k0,10.999328,-74.81737,4.4,"['night_club', 'point_of_interest', 'establishment']",123,night+club
48,Edificio Bulevard 72,CLOSED_TEMPORARILY,"Cl. 72 ##41-38, Barranquilla, Atlántico, Colombia",ChIJZX6Eiw0t9I4R5A7hDWU35Y4,10.989718,-74.808101,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
49,discotk la caseta,CLOSED_TEMPORARILY,"Barranquilla, Atlántico, Colombia",ChIJdxv8j7HT9Y4RHchXdB-OMc4,10.9489929,-74.8216259,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
50,"DISCOTECA PA"" LAS QUE SEA'",OPERATIONAL,"Cra. 8 ## 42 39, Barranquilla, Atlántico, Colombia",ChIJCczIHYXT9Y4RqwwflmLhlJE,10.945935,-74.79760569999999,3.7,"['night_club', 'point_of_interest', 'establishment']",10,night+club
51,Cantina Colombia Alemana,CLOSED_TEMPORARILY,"Cra. 8 #3, Barranquilla, Atlántico, Colombia",ChIJWyTTbrDS9Y4RBdInp2Qk8i0,10.945808,-74.79419899999999,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
52,Estadero la 52 - Donde Roger,CLOSED_TEMPORARILY,"Cl. 52 #54-76, Barranquilla, Atlántico, Colombia",ChIJlxxY0Hst9I4RC89q2dYFhEs,10.993393,-74.7886997,3.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
53,Debajo del Pino,CLOSED_TEMPORARILY,"a 42-169, Cl. 83 #4247, Barranquilla, Atlántico, Colombia",ChIJ-62DwQIt9I4RFmJJjlnNI9U,10.9915044,-74.8255221,3.5,"['night_club', 'point_of_interest', 'establishment']",2,night+club
54,froggs,CLOSED_TEMPORARILY,"Entre Esquina 20 de Julio y Calle 45B, Cl. 93, Barranquilla, Atlántico, Colombia",ChIJMeNnNVUs9I4R8B9sHpjly0s,11.0028332,-74.8273634,4.5,"['night_club', 'point_of_interest', 'establishment']",52,night+club
55,WUEPA G,CLOSED_TEMPORARILY,"Murillo Toro #21-39, Barranquilla, Atlántico, Colombia",ChIJlUrSFk4t9I4RV2420RCDjso,10.9623494,-74.7931296,4.0,"['night_club', 'bar', 'point_of_interest', 'establishment']",75,night+club
56,La Esquina SABROSA,CLOSED_TEMPORARILY,"Esquina 40, Cl. 37, Barranquilla, Atlántico, Colombia",ChIJtTVLymEt9I4R_xKlv_jEFJw,10.9800751,-74.7818001,3.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
57,Discoteca Casa Juniorista VIP,CLOSED_TEMPORARILY,"Cra. 8 ##42-103, Barranquilla, Atlántico, Colombia",ChIJwf-6TLfS9Y4RCp2Dx2j0oMo,10.9459574,-74.79812729999999,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
58,LA ANTIGUA DISCO BAR,CLOSED_TEMPORARILY,"Cl. 41b ##7f-162, Barranquilla, Atlántico, Colombia",ChIJQU7YLAzT9Y4Ro3HjGbMmnVM,10.9457273,-74.79648569999999,4.3,"['night_club', 'point_of_interest', 'establishment']",16,night+club
59,Radio Bemba Social Club,CLOSED_TEMPORARILY,"Cra. 43b #42 # 82, Barranquilla, Atlántico, Colombia",ChIJvdyPrwct9I4RBEUmByKDutA,10.99879,-74.81794359999999,5.0,"['night_club', 'point_of_interest', 'establishment']",8,night+club
60,Letras Barranquilla,OPERATIONAL,"Barranquilla, Puerto Colombia, Atlántico, Colombia",ChIJm92_V5Qt9I4RdB1u0kf79ds,11.01238,-74.841307,4.7,"['tourist_attraction', 'point_of_interest', 'establishment']",274,point+of+interes
61,Malecón Turístico Rio Magdalena Barranquilla Colombia l,OPERATIONAL,"Av. del Rio, Barranquilla, Atlántico, Colombia",ChIJ8XIlvocy9I4RPIt8vPZqmu4,10.9970751,-74.7704827,4.2,"['tourist_attraction', 'point_of_interest', 'establishment']",1806,point+of+interes
62,Parque Cultural Del Caribe,OPERATIONAL,"Cl. 36 ##No. 46-66, Barranquilla, Atlántico, Colombia",ChIJu5DxJZ0y9I4Rb2mmrcOlTr0,10.9863091,-74.7781735,4.5,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",3287,point+of+interes
