,0,1,2,3,4,5,6,7,8,9
34,Casanova,OPERATIONAL,"a 14-67, Cl. 86a #1431, Bogotá, Colombia",ChIJCQ9xpfSaP44RaK-L7GnqrT0,4.6707029,-74.0543076,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
35,Lido,OPERATIONAL,"a 95-83, Cra. 14 #95-1, Bogotá, Colombia",ChIJnX7K9JOaP44RwthJVZZS_50,4.680817999999999,-74.0490836,3.1,"['night_club', 'point_of_interest', 'establishment']",21,night+club
36,Club Swinger 69,OPERATIONAL,"Cl. 69 ##10-30, Bogotá, Cundinamarca, Colombia",ChIJQXrLZESaP44R_z3lgnBIhw8,4.6534666,-74.06013109999999,4.3,"['night_club', 'point_of_interest', 'establishment']",21,night+club
37,Disco Bar La Colina,OPERATIONAL,"Cl 132 #59, Bogotá, Colombia",ChIJf7pSGuaEP44R9Lm-Ae0_-tc,4.73108,-74.08820399999999,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
38,Oz 74,OPERATIONAL,"a 20-29, Cl. 74 #20-1, Bogotá, Colombia",ChIJb-D_elmaP44RkIvBJ98c0lA,4.6618615,-74.0617682,3.4,"['night_club', 'point_of_interest', 'establishment']",5,night+club
39,the eden Club,CLOSED_TEMPORARILY,"Cl. 93 #1940, Bogotá, Colombia",ChIJyRuJHu2aP44RFmfA5pMd8_s,4.678535999999999,-74.05528900000002,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
40,Retro Night Club,CLOSED_TEMPORARILY,"Cl. 22 #2 #8-39 piso, Bogotá, Colombia",ChIJ_4V9M5-ZP44RYlvesB6w7Qg,4.6083266,-74.0712879,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
41,+57 Club,OPERATIONAL,"Cl. 93 #13a10, Bogotá, Colombia",ChIJnxGlgY2aP44REWqlQFYH6sY,4.6758961,-74.0504296,4.2,"['night_club', 'point_of_interest', 'establishment']",39,night+club
42,Los Angeles v.i.p,OPERATIONAL,"Av. 1 de Mayo #68I-21, Antonio Nariño, Bogotá, Colombia",ChIJGdmbPbeeP44RZgiBbRImjqQ,4.611988999999999,-74.1337526,4.2,"['night_club', 'bar', 'point_of_interest', 'establishment']",81,night+club
43,Disco Bar,CLOSED_TEMPORARILY,"84, 1 De Mayo #69, Bogotá, Colombia",ChIJlciGsbCeP44Ry83kzn-wXKI,4.613527899999999,-74.1348486,4.0,"['night_club', 'point_of_interest', 'establishment']",19,night+club
44,Expresscol,CLOSED_TEMPORARILY,"a 76a-99,, Cra 68C #76a1, Bogotá, Colombia",ChIJKQYmShmbP44RiSM-cKdI_Go,4.6829819,-74.0832289,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
45,Canela Disco Club,CLOSED_TEMPORARILY,"Cl. 53 #14, Bogotá, Colombia",ChIJj-ZBrjSaP44RygXKmaPvXB4,4.6423422,-74.076544,2.0,"['night_club', 'point_of_interest', 'establishment']",4,night+club
46,Happy Night Club VIP,CLOSED_TEMPORARILY,"Av. 1 de Mayo #69c-68, Bogotá, Colombia",ChIJE1XsZLqeP44RQqMKSzG8nKA,4.6153357,-74.1366003,3.3,"['night_club', 'point_of_interest', 'establishment']",3,night+club
47,El Padrino,CLOSED_TEMPORARILY,"Cl. 81 #12-95, Bogotá, Colombia",ChIJyUioe_WaP44RaUkEfrMPZBE,4.6666826,-74.0559062,5.0,"['night_club', 'point_of_interest', 'establishment']",1,night+club
48,Vlak Club,CLOSED_TEMPORARILY,"Cra. 6, Bogotá, Colombia",ChIJB4KYuZuZP44RBm2vtbPoVY0,4.613180799999999,-74.0690838,4.0,"['night_club', 'point_of_interest', 'establishment']",17,night+club
49,CHINATOWN,CLOSED_TEMPORARILY,"Bogotá, Colombia",ChIJYaiw5SWFP44RRbXPKpomOPo,4.727392,-74.04777750000001,0.0,"['night_club', 'point_of_interest', 'establishment']",0,night+club
