,0,1,2,3,4,5,6,7,8,9
93,TRINITY SCHOOL,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJMQN2AwGlMI4R7XeOL0T-UsY,3.4457761,-76.55356019999999,5.0,"['school', 'point_of_interest', 'establishment']",1,school
94,VERTICAL POLE,OPERATIONAL,"calle 15 norte avenida 8-77, Cali, Valle del Cauca, Colombia",ChIJqc2GM2ymMI4RctVai43NqLw,3.4593601,-76.5341681,4.2,"['school', 'point_of_interest', 'establishment']",5,school
95,Urban School,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJVVVVBbumMI4RfNYDPRhUTWY,3.4172791,-76.5351574,5.0,"['school', 'point_of_interest', 'establishment']",1,school
96,Colegio La Arboleda,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJ_-D6gxuiMI4RgEySXTzKZtI,3.3388512,-76.5551986,4.7,"['school', 'point_of_interest', 'establishment']",24,school
97,american school way,OPERATIONAL,"Cra. 24 #5-23, Cali, Valle del Cauca, Colombia",ChIJ2zlnNeWnMI4R3ndO7h1UyaI,3.4315742,-76.5369657,0.0,"['school', 'point_of_interest', 'establishment']",0,school
98,CAE Arquidicesano Cali,OPERATIONAL,"# 16, Cl. 10 Nte. #57, Cali, Valle del Cauca, Colombia",ChIJrwj1MW6mMI4R-vZ6_Qz0Vj8,3.456337,-76.5364596,0.0,"['school', 'point_of_interest', 'establishment']",0,school
99,AMERICAN ENGLISH SCHOOL CANEY,CLOSED_TEMPORARILY,"Cl. 25 ##83c-53, Cali, Valle del Cauca, Colombia",ChIJBUAJizihMI4RnVPi-YNlyso,3.3831154,-76.5241964,5.0,"['point_of_interest', 'establishment']",1,school
100,Mi Terminal Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJQ-nRIT-mMI4RBjV2bu4dMOo,3.4654697,-76.5213237,5.0,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",4,transit+station
101,Transportes Transzapata Ltda,OPERATIONAL,"Cl. 9a #31, Cali, Valle del Cauca, Colombia",ChIJG8OHGqWmMI4RDurqwN1umJ4,3.416131,-76.539256,5.0,"['transit_station', 'point_of_interest', 'establishment']",1,transit+station
102,Versalles,OPERATIONAL,"Avenida De Las #Calle 21 N, Cali, Valle del Cauca, Colombia",ChIJ16HT9GqmMI4RzLl5MmZjPg0,3.461196,-76.5270026,4.0,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",19,transit+station
103,Estacion Mio Unidad Deportiva,OPERATIONAL,"Frente a Centro Comercial la 14, Calle 5 Esquina Carrera 50, Cali, Valle del Cauca, Colombia",ChIJm0tYBqimMI4R3zl9ncfhqt0,3.4141819,-76.5482708,4.4,"['transit_station', 'point_of_interest', 'establishment']",15,transit+station
104,Rio Cali,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJtcSy1kGmMI4RJzDquTxaKgY,3.46043,-76.5253433,3.3,"['transit_station', 'point_of_interest', 'establishment']",7,transit+station
105,Sede Administrativa Buses Coomoepal,OPERATIONAL,"Cali, Valle del Cauca, Colombia",ChIJvVVJI6WmMI4R7rctDL5XwWw,3.416103,-76.538415,0.0,"['transit_station', 'point_of_interest', 'establishment']",0,transit+station
