,ciudad,codproyecto,direccion,latitud,longitud,geometry
1094,Bogota,C91061,Cr 85d # 46a - 96 L1,4.678726, -74.115057,POINT (4.678726 -74.11505699999999)
1095,Bogota,C91062,Cl 2 # 3 - 41 Cajicá,4.916442, -74.024766,POINT (4.916442 -74.024766)
1096,Bogota,C91063,Cl 2 # 3 - 41 Cajicá,4.916442, -74.024766,POINT (4.916442 -74.024766)
1097,Bogota,C91064,Cl 2 # 3 - 41 Cajicá,4.916442, -74.024766,POINT (4.916442 -74.024766)
1098,Bogota,C91065,Cl. 18 # 77- 51,4.653801, -74.130179,POINT (4.653801 -74.130179)
1099,Bogota,C91066,Cl. 18 # 77- 51,4.653801, -74.130179,POINT (4.653801 -74.130179)
1100,Bogota,C91067,Av Troncal de Occidente frente a Doria,4.696878, -74.218741,POINT (4.696878 -74.21874099999999)
1101,Bogota,C91068,Cr 2 # 9-24 La Calera,4.720800, -73.966028,POINT (4.7208 -73.96602799999999)
1102,Bogota,C91069,Av Cr 9 # 100-77,4.685788, -74.047318,POINT (4.685788 -74.047318)
1103,Bogota,C91070,Av Cr 9 # 100-77,4.685788, -74.047318,POINT (4.685788 -74.047318)
1104,Bogota,C91071,Cr. 11 # 79 -75,4.664190, -74.054176,POINT (4.66419 -74.054176)
1105,Bogota,C91072,Cr. 11 # 79 -75,4.664190, -74.054176,POINT (4.66419 -74.054176)
1106,Bogota,C91073,Cl.139 # 96A-35,4.7387,-74.0920,POINT (4.7387 -74.092)
1107,Bogota,C91074,Km 22 vía Tunja Vereda Canavíta,4.944272, -73.945790,POINT (4.944272 -73.94579)
1108,Bogota,C91075,Cr14 # 71 - 98,4.658344, -74.061741,POINT (4.658344 -74.061741)
1109,Bogota,C91076,Cr 11 # Cl 93a -08 Esquina,4.675656, -74.046759,POINT (4.675656 -74.04675899999999)
1110,Bogota,C91077,Cr 38 Con Cl 12y 12 a,4.618952, -74.100245,POINT (4.618952 -74.100245)
1111,Bogota,C91078,Cl 12 # 15-65,4.604701, -74.081508,POINT (4.604701 -74.081508)
1112,Bogota,C91079,Vía Zipaquirá Ubaté con Cl 8,5.027380, -73.981013,POINT (5.02738 -73.981013)
1113,Bogota,C91080,Autosur con Cr 67,4.595748, -74.159145,POINT (4.595748 -74.159145)
1114,Bogota,C91081,Cr 106 # 15a -25,4.675155, -74.155018,POINT (4.675155 -74.155018)
1115,Bogota,C91082,Cr 106 # 15a -25,4.675155, -74.155018,POINT (4.675155 -74.155018)
1116,Bogota,C91083,Cl 91 con Cr 19c,4.677254, -74.057367,POINT (4.677254 -74.057367)
1117,Bogota,C91084,Av Cr 86 # 63-20,4.682246, -74.116594,POINT (4.682246 -74.11659400000001)
1118,Bogota,C91085,Autopista Troncal de Occidente Km 1.5,4.699463, -74.193698,POINT (4.699463 -74.193698)
1119,Bogota,C91086,Av Cr. 20 # 88 -20,4.676019, -74.058460,POINT (4.676019 -74.05846)
1120,Bogota,C91087,Cl 93 # 15-73,4.677125, -74.052770,POINT (4.677125 -74.05277)
1121,Bogota,C91088,Cl 72a # 61- 14,4.673451, -74.079991,POINT (4.673451 -74.07999100000001)
1122,Bogota,C91089,Autopista Medellín Km 2.2 del Puente de Guadua,4.749057, -74.143721,POINT (4.749057 -74.143721)
1123,Bogota,C91090,Av. Pradilla # 6  - 59E Chía,4.865391, -74.038609,POINT (4.865391 -74.03860899999999)
1124,Bogota,C91091,Cl 125 # 21a -61,4.705027, -74.052586,POINT (4.705027 -74.05258600000001)
1125,Bogota,C91092,Cl 63d # 28a-38,4.656036, -74.077490,POINT (4.656036 -74.07749)
1126,Bogota,C91093,Av.El Dorado # 78 -20,4.673085, -74.115133,POINT (4.673085 -74.115133)
1127,Bogota,C91094,Av.El Dorado # 78 -20,4.673085, -74.115133,POINT (4.673085 -74.115133)
1128,Bogota,C91095,Mosquera vía La Mesa,4.700245, -74.236660,POINT (4.700245 -74.23666)
1129,Bogota,C91096,Mosquera vía La Mesa,4.700245, -74.236660,POINT (4.700245 -74.23666)
1130,Bogota,C91097,Av. Boyaca con Cl 152,4.738486, -74.066155,POINT (4.738486 -74.06615499999999)
1131,Bogota,C91098,Cl 104 # 23-36,4.691313, -74.055687,POINT (4.691313 -74.05568700000001)
1132,Bogota,C91099,Cl 104 # 23-36,4.691313, -74.055687,POINT (4.691313 -74.05568700000001)
1133,Bogota,C91100,Av. El Dorado con Cra. 92,4.683916, -74.120647,POINT (4.683916 -74.12064700000001)
1134,Bogota,C91101,Cl 125 # 19 -67,4.704533, -74.049382,POINT (4.704533 -74.04938199999999)
1135,Bogota,C91102,Cl 125 # 19 -67,4.704533, -74.049382,POINT (4.704533 -74.04938199999999)
