,ciudad,codproyecto,direccion,latitud,longitud
256,Bogota,C90163,Km 2 Vía Siberia - Funza,4.7989929,-74.1109464
258,Bogota,C90165,Km. 2.5 Fontibón - Mosquera,,
259,Bogota,C90166,Av. Dorado # 103 Bis - 25,4.6900781,-74.13116289999999
261,Bogota,C90168,Cl. 97 # 9-45,4.6854238,-74.06615289999999
262,Bogota,C90169,Av. Jiménez # 4-16,4.6009341,-74.0705201
263,Bogota,C90170,Cr. 13 # 41-28,4.6293432,-74.066791
264,Bogota,C90171,Cl. 26A # 13-97,4.6146442,-74.0717784
265,Bogota,C90172,Av. Cl. 116 # 15B-26,4.6972328,-74.0445567
266,Bogota,C90173,Km. 3 Vía Funza Sibería,,
267,Bogota,C90174,Vía Sibería Funza,4.7455754,-74.1700713
268,Bogota,C90175,Vía Sibería Bogotá,4.7992783,-74.1107167
271,Bogota,C90178,Cl. 113 # 7-80,4.692499,-74.03487779999999
273,Bogota,C90180,Cr. 100 # 18-59/79,4.6747648,-74.1444569
274,Bogota,C90181,Cl. 101 # 66-11,4.6900521,-74.0706227
276,Bogota,C90183,Av. Cl. 26 # 69B-53,4.6592721,-74.10830469999999
278,Bogota,C90185,Dg. 76 # 23H-96F,4.6747869,-74.1344332
279,Bogota,C90186,Cr. 106 # 15-25,4.6714294,-74.155718
282,Bogota,C90189,A 900 mts de Aut. Medellín,6.2476376,-75.56581530000001
283,Bogota,C90190,Cl. 139 # 99-40,4.7398006,-74.0923509
284,Bogota,C90191,Vía Mosquera Bogotá,4.6967618,-74.2031978
285,Bogota,C90192,Cl. 22C # 132-27,4.6993841,-74.16076439999999
286,Bogota,C90193,Vía Sibería Cota,4.7992783,-74.1107167
287,Bogota,C90194,Cr. 13 # 5C-21,4.6292962,-74.06705339999999
288,Bogota,C90195,Cr. 13 Cl. 3 Mosquera,4.6341409,-74.06610690000001
289,Bogota,C90196,Cl. 118 # 19-52,4.6997639,-74.0504375
290,Bogota,C90197,Av. 19 # 97-51,4.6726303,-74.1424078
291,Bogota,C90198,Av. Suba Cl. 100,4.6891624,-74.0650696
292,Bogota,C90199,Km 19 Vía Bogotá Mosquera,,
295,Bogota,C90202,Tr. 59 # 104B-86,4.693368599999999,-74.06634009999999
296,Bogota,C90203,Cr. 53 # 104B-35,4.6938487,-74.06290539999999
297,Bogota,C90204,Cr. 13 # 98-70,4.6826865,-74.04628380000001
300,Bogota,C90207,Cr. 11 # 98-35,4.6814101,-74.04391729999999
302,Bogota,C90209,Av. 19 # 97-05,4.6723266,-74.1421479
303,Bogota,C90210,Cr 1 # 3-40 Mosquera,4.704899699999999,-74.2288576
